,X995.1992,X1004.5175,X1168.5204,X1170.3841,X1172.2477,X1174.1114,X1175.9751,X1619.5283,X1623.2556,X1630.7103,X1686.6204,X1688.484,X1690.3477,X1692.2114,X1694.075,X1695.9387,X1697.8024,X1699.6661,X1701.5297,X1703.3934,X1705.2571,X1707.1207,X1708.9844,X1710.8481,X1712.7117,X1714.5754,X3363.9224,X3367.6497,X3375.1044,X3376.9681,X3397.4684,X3410.5141,X3412.3778,X3423.5598,X3434.7418,X3984.5241
0,0.202935,0.200676,0.05782,0.054945000000000015,0.052229,0.049971,0.048111,0.052589,0.052305,0.053131,0.03434,0.033001,0.032269,0.031251999999999995,0.029922000000000008,0.029253,0.02916,0.028846,0.029951,0.029698,0.029608,0.030295,0.029841000000000006,0.029306,0.02881,0.028335000000000006,0.072345,0.072811,0.071096,0.070971,0.066232,0.061938,0.062665,0.058219000000000014,0.053858,0.02036
1,0.192771,0.191167,0.056876,0.05431,0.05229,0.050695,0.049348,0.062151,0.061601,0.058739,0.038394,0.037594,0.03754,0.036439,0.035711,0.036075,0.035697,0.035759,0.036567,0.034715,0.034273000000000005,0.034096,0.033082,0.032701999999999995,0.03218,0.031921,0.065924,0.064609,0.064077,0.064558,0.06136000000000001,0.059382,0.05961900000000001,0.056598,0.053574,0.028155
2,0.140906,0.140521,0.040564,0.038701,0.037269,0.036056,0.034947000000000006,0.046099,0.0457,0.043486,0.026113,0.025452,0.025216,0.024545,0.02419,0.024055,0.02321,0.023469,0.02383,0.022908,0.02299,0.022961,0.02231,0.021882,0.021584,0.021862,0.055601,0.054754,0.054877,0.054767,0.050186,0.049432,0.047587,0.043367,0.043373,0.022748
3,0.198488,0.195307,0.058211,0.055391,0.053153,0.051372,0.049715,0.052345,0.054308,0.056177,0.035795,0.034082,0.033066000000000005,0.032017000000000004,0.030991,0.030445,0.029453,0.028976,0.029352,0.028447000000000007,0.028301,0.02833,0.027575,0.02713,0.026611000000000003,0.026302,0.062676,0.063066,0.060684,0.06045,0.057236,0.055080999999999984,0.055502,0.052930999999999985,0.050605,0.018928
4,0.212267,0.209033,0.055065,0.052462,0.04984,0.047412,0.045543,0.06159700000000001,0.062054999999999985,0.060711,0.037776,0.036392,0.035464,0.034137,0.033308,0.033030000000000004,0.032145,0.032351,0.032765,0.031923,0.031836,0.031742,0.031339,0.030929,0.030398,0.030274,0.070198,0.071772,0.070511,0.069622,0.06422699999999999,0.059827,0.05911,0.055060000000000005,0.053882000000000006,0.026154000000000004
5,0.191627,0.187022,0.054191,0.051364,0.049158,0.047297000000000006,0.045921,0.05404,0.055014,0.058423,0.03736,0.036311,0.035345,0.034257,0.032652999999999995,0.031309,0.030847000000000006,0.030538,0.031478,0.030401,0.029707,0.030259,0.029787,0.029186,0.028239,0.027194,0.060547,0.058578,0.057883,0.057924,0.053561,0.051107,0.050304,0.048284,0.048052,0.020962
6,0.152229,0.151646,0.049553,0.047945,0.046517,0.045316,0.044178,0.038737,0.039774,0.038896,0.024533000000000003,0.023843,0.023413,0.02262,0.022227,0.021969,0.021278,0.021434,0.021997,0.020946,0.020763,0.02085,0.020425,0.020455,0.02016,0.020011,0.037888,0.036839,0.035998,0.036843,0.032494,0.031884,0.032073000000000004,0.027746,0.026586,0.012098
7,0.176178,0.174734,0.052737,0.050317,0.047919,0.045883,0.044381,0.038534,0.039518,0.039002,0.026627,0.025491,0.025092,0.024263,0.023806,0.024271,0.024209,0.024558,0.0254,0.023972,0.024561000000000003,0.025326,0.024701,0.024567,0.0243,0.024357,0.050363,0.048831,0.046434,0.046721,0.042132,0.041391,0.041504,0.039305,0.038841,0.015902
8,0.165428,0.164779,0.046345,0.044279,0.042269,0.040594,0.039283,0.049167,0.048803,0.046038,0.029972,0.028842000000000007,0.028537,0.027989,0.027394,0.027573,0.027313,0.027794,0.028794,0.027098,0.027287,0.027611,0.02692,0.026513,0.025992,0.026160000000000003,0.056492,0.055576,0.052778,0.053532,0.049989,0.046781,0.046308,0.044721,0.042526,0.019648
9,0.17691600000000002,0.17452,0.052732000000000015,0.050096,0.047919,0.046136,0.044873,0.054901,0.055113,0.052369000000000006,0.034479,0.033431,0.032919,0.032077,0.031659,0.032131,0.031644,0.031124,0.031676,0.030147000000000007,0.029837,0.029861,0.02879,0.028108,0.027471,0.027399,0.071791,0.072345,0.068464,0.068514,0.06561900000000001,0.062214,0.061630999999999984,0.061329,0.057082000000000015,0.025169
10,0.128408,0.12776600000000002,0.038113,0.036418,0.034865,0.033458,0.032315,0.032565,0.032975,0.032415,0.020623,0.020128,0.019782,0.019222,0.018977,0.018964,0.018455000000000003,0.018353,0.018459,0.018506,0.0193,0.019618,0.019197,0.019083000000000003,0.01876,0.018283,0.038874,0.039655,0.041216,0.040097,0.037163,0.035333,0.033604,0.03159,0.031533,0.014011
11,0.221005,0.216763,0.061363,0.058262,0.05579,0.053886,0.05222,0.057595000000000014,0.05994,0.061653,0.0402,0.038263,0.037069,0.035598000000000005,0.033918000000000004,0.03333,0.033187,0.032639999999999995,0.032337,0.031465,0.031124,0.031028,0.03039,0.029777,0.029254,0.028966,0.074519,0.073501,0.070966,0.071814,0.069076,0.06686,0.065721,0.06274600000000001,0.061644,0.029297000000000007
12,0.100393,0.100011,0.029663,0.028427,0.027245,0.026168,0.025421,0.032765,0.031653,0.030397000000000007,0.02094,0.019468,0.01926,0.018649,0.017558,0.017998,0.018582,0.017972,0.019482,0.018615,0.018288,0.019071,0.01847,0.017894999999999998,0.017471,0.017613,0.036139,0.036164,0.035029000000000005,0.036195,0.033256,0.030681,0.031815,0.031171,0.028739,0.01513
13,0.171941,0.172758,0.049165,0.047324,0.045217,0.043072000000000006,0.041136,0.054335,0.053704,0.050526,0.030368,0.029159,0.028699,0.027725,0.026702,0.026869,0.026835,0.026137,0.026851,0.026356,0.026146,0.02643,0.026136000000000003,0.026107,0.025682,0.025429,0.058628,0.059536,0.058958,0.058076,0.052773,0.049972,0.049157,0.049085,0.042557,0.020711
14,0.265087,0.258019,0.069142,0.065309,0.062219,0.05959800000000001,0.057583,0.073629,0.074478,0.07297999999999999,0.049172,0.047769,0.046944,0.04606,0.045288,0.044878,0.044793,0.045474,0.046246,0.045286,0.04553,0.045996,0.045563,0.04498,0.04414,0.0437,0.099579,0.098396,0.094918,0.093361,0.08949,0.086702,0.085451,0.08064400000000001,0.077568,0.040433
15,0.258137,0.255197,0.055573,0.052938,0.050582,0.048561,0.046992,0.049185,0.04988,0.050293,0.032395,0.031619,0.031065,0.030024,0.029439,0.029169,0.028414,0.028711,0.028899,0.028048000000000003,0.028521,0.029177,0.028794,0.028254,0.02773,0.027591,0.076489,0.07700900000000001,0.076012,0.074651,0.069213,0.06614,0.066403,0.062891,0.06075800000000001,0.024449
16,0.213928,0.20792,0.056774,0.053636,0.051026,0.048913,0.047261,0.062068,0.062951,0.064634,0.045792,0.042794,0.041865,0.040449,0.038257,0.038412,0.039202,0.03825,0.040776,0.039109,0.038388,0.039996,0.039096,0.038214,0.037272,0.036759,0.07588400000000001,0.07703099999999999,0.076282,0.074629,0.07015700000000001,0.070704,0.06957200000000001,0.066208,0.063558,0.034803
