"","X730.5582","X732.4219","X734.2856","X736.1492","X738.0129","X739.8766","X741.7402","X743.6039","X745.4676","X747.3312","X749.1949","X751.0586","X752.9222","X754.7859","X756.6496","X758.5132","X760.3769","X762.2406","X764.1043","X765.9679","X767.8316","X769.6953","X771.5589","X773.4226","X775.2863","X777.1499","X779.0136","X818.1507","X820.0143","X829.3327","X831.1963","X833.06","X836.7873","X838.651","X840.5147","X842.3784","X844.242","X846.1057","X847.9694","X849.833","X851.6967","X853.5604","X855.424","X920.6524","X922.5161","X924.3798","X926.2435","X928.1071","X929.9708","X931.8345","X933.6981","X944.8801","X948.6075","X1092.11","X1093.9737","X1539.3905","X1600.8916","X1602.7553","X1604.6189","X1608.3463","X1610.2099","X1612.0736","X1613.9373"
"1","0.128296","0.128741","0.129708","0.131522","0.132571","0.132995","0.134329","0.137078","0.139263","0.139238","0.137324","0.133997","0.131307","0.130454","0.130924","0.131078","0.130233","0.129955","0.12950799999999998","0.128408","0.127706","0.127308","0.12775899999999998","0.127626","0.12598900000000002","0.124366","0.120815","0.056539","0.0563","0.055876","0.056238","0.056614","0.054755","0.053283","0.052767","0.053402","0.05413","0.054788","0.055412","0.055972","0.056734000000000014","0.05736","0.057937","0.07432799999999999","0.073572","0.071248","0.06916699999999999","0.068963","0.06980399999999999","0.071537","0.073464","0.079319","0.079225","0.157719","0.155998","0.027137","0.034394","0.034141000000000005","0.033874","0.03439","0.034467000000000005","0.034322000000000005","0.034248"
"2","0.167234","0.16810799999999998","0.170405","0.170834","0.170024","0.170238","0.171981","0.175348","0.177344","0.177513","0.17688099999999998","0.174376","0.172426","0.173023","0.173282","0.171735","0.170355","0.169674","0.169184","0.168863","0.167991","0.166302","0.16492","0.163829","0.162678","0.161056","0.1568","0.081872","0.081121","0.08183700000000001","0.082522","0.083311","0.082599","0.082387","0.082412","0.08268400000000001","0.083277","0.08375","0.08440800000000001","0.085296","0.086135","0.086677","0.087392","0.112623","0.112203","0.110019","0.107943","0.108197","0.109676","0.111661","0.114211","0.121606","0.123221","0.201746","0.198989","0.042178","0.047493","0.047539","0.047561","0.048506","0.049191000000000006","0.049209","0.049435"
"3","0.117678","0.118488","0.119424","0.120072","0.120523","0.120949","0.122227","0.12438","0.124875","0.125307","0.125297","0.122069","0.119455","0.119537","0.119522","0.119214","0.118986","0.118134","0.117551","0.11756","0.11765","0.117164","0.116144","0.115655","0.115253","0.113929","0.110452","0.054749","0.054883","0.054592","0.054535","0.055503","0.055247","0.054015","0.053946","0.054398","0.055146","0.0561","0.057301","0.058267","0.058277","0.057779","0.057949","0.077535","0.076073","0.07272100000000001","0.06957100000000001","0.06880599999999999","0.06930599999999999","0.070221","0.071897","0.07875800000000001","0.07774600000000001","0.14273","0.142324","0.024333","0.032743","0.032813","0.032603","0.032767000000000004","0.0331","0.032770999999999995","0.03245"
"4","0.098224","0.099494","0.100713","0.10127","0.101209","0.100755","0.10176","0.103638","0.105028","0.105079","0.104253","0.102364","0.099936","0.099968","0.101042","0.100904","0.100506","0.100197","0.099908","0.099197","0.097637","0.096474","0.096477","0.096134","0.095277","0.094266","0.092016","0.05098","0.050899","0.050735","0.051416","0.051776","0.050788","0.050465","0.050712","0.051191","0.051667999999999985","0.051998","0.052373","0.052835","0.053195000000000006","0.053559","0.054264","0.068672","0.068459","0.067358","0.06651","0.066923","0.068049","0.06901499999999999","0.070148","0.075046","0.075894","0.125586","0.123885","0.029167","0.029992","0.030049","0.029947","0.030412","0.030509","0.030519","0.031038"
"5","0.083133","0.084027","0.085146","0.086285","0.086798","0.087636","0.088901","0.090256","0.090434","0.090709","0.090652","0.088676","0.087786","0.088237","0.08866","0.089056","0.08897000000000001","0.08824800000000001","0.087629","0.08795599999999999","0.08838700000000001","0.088381","0.088621","0.08854","0.087979","0.088198","0.087339","0.055124","0.055358","0.05746","0.057984","0.058912","0.059341","0.059434","0.059898","0.060437","0.061017","0.061599","0.062261","0.063262","0.064123","0.065175","0.066487","0.096446","0.096775","0.09624","0.096019","0.097218","0.098843","0.100455","0.10238","0.109668","0.111279","0.104667","0.10292","0.023571","0.02589","0.025962","0.026068","0.026508","0.026773","0.026899","0.027391"
"6","0.090686","0.091935","0.093144","0.095123","0.096274","0.09589","0.097339","0.099713","0.101201","0.101927","0.100868","0.097633","0.095465","0.095675","0.096277","0.096865","0.097395","0.096807","0.096287","0.096407","0.095726","0.095322","0.095371","0.094841","0.093706","0.091984","0.08963099999999999","0.043967","0.043628","0.04436","0.044502","0.045556","0.045227","0.044827","0.044798","0.044504","0.044919","0.045828","0.046196","0.046832","0.047601","0.048603","0.050038","0.068386","0.068208","0.066696","0.065256","0.06540599999999999","0.066491","0.067972","0.069663","0.074265","0.075175","0.133173","0.132378","0.024013","0.026302","0.026023","0.025496","0.025087","0.025278","0.024602","0.023929"
"7","0.079299","0.07860299999999999","0.07894","0.079603","0.080106","0.08125399999999999","0.08265700000000001","0.083599","0.08415700000000001","0.084761","0.08407200000000001","0.082136","0.080856","0.08029","0.080577","0.081108","0.081084","0.08036900000000001","0.07988300000000001","0.079803","0.079226","0.078885","0.078649","0.078102","0.077684","0.07699","0.07487","0.041658","0.041257","0.041442","0.041928","0.042342000000000005","0.040712","0.040372000000000005","0.040492","0.040564","0.04105","0.041886","0.042087","0.04247","0.043246","0.04345","0.043609","0.053296","0.053221","0.052258000000000006","0.051145","0.051309","0.052077","0.052884","0.05366","0.05615","0.056761","0.093687","0.092468","0.02077","0.026178","0.026029000000000004","0.025905","0.025728","0.02588","0.0259","0.025735"
"8","0.084037","0.086114","0.087266","0.087425","0.087052","0.086506","0.087156","0.088632","0.089139","0.089175","0.08847999999999999","0.08668300000000001","0.085738","0.085303","0.08519","0.084785","0.083851","0.08361299999999999","0.084188","0.084564","0.083437","0.082322","0.082711","0.08275700000000001","0.081728","0.080825","0.078545","0.043302","0.043264","0.043587","0.043592","0.044619","0.043869","0.042983","0.043059","0.043484","0.043575","0.04363","0.044253","0.044596","0.045052","0.046124","0.046829","0.05805800000000001","0.05814","0.056855","0.055616999999999986","0.055586","0.056217","0.057242","0.058591","0.06184600000000001","0.061976","0.099495","0.098775","0.0218","0.027431","0.027517000000000003","0.027609","0.027563","0.027992000000000003","0.027978","0.027542"
"9","0.185306","0.185762","0.186611","0.186452","0.186301","0.186497","0.187109","0.189711","0.190972","0.191295","0.190729","0.187375","0.185793","0.186551","0.18699","0.185778","0.184338","0.183852","0.182945","0.180683","0.17893699999999998","0.17863099999999998","0.178136","0.176377","0.173663","0.17109000000000002","0.167046","0.100985","0.100692","0.103431","0.104241","0.106217","0.10567","0.105952","0.106847","0.107615","0.108727","0.110041","0.111739","0.113369","0.113906","0.113625","0.114275","0.150395","0.14896700000000002","0.144676","0.140968","0.140408","0.141978","0.14441099999999998","0.146787","0.153582","0.153045","0.212871","0.208735","0.058334","0.064367","0.065165","0.06562899999999999","0.06739400000000001","0.068531","0.06884","0.06939"
"10","0.147015","0.146771","0.148178","0.15029","0.15124200000000002","0.15243099999999998","0.153451","0.155356","0.156546","0.155979","0.155057","0.152187","0.149936","0.150757","0.15124200000000002","0.150222","0.14971900000000002","0.149286","0.148391","0.147791","0.147117","0.145782","0.144286","0.1433","0.14255","0.141447","0.138173","0.073251","0.072828","0.072388","0.07295900000000001","0.074014","0.07231900000000001","0.071888","0.072064","0.07197","0.07198099999999999","0.07234199999999999","0.072863","0.073416","0.0744","0.075363","0.075973","0.100197","0.099751","0.098319","0.096781","0.096897","0.098247","0.100144","0.102406","0.111225","0.112958","0.191061","0.189019","0.035589","0.04168","0.041746","0.041706","0.042174","0.042669","0.042613","0.042248"
